time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count;
2021-01-01-00:00;2021-01-01-08:00;2021-01-01T00:00:07.9500700Z;2021-01-01T07:59:42.4267610Z;0.1696;0.179;0.1676;0.1729;5260944.31662;3126;
2021-01-01-08:00;2021-01-01-16:00;2021-01-01T08:00:05.2206510Z;2021-01-01T15:59:40.3611140Z;0.173;0.1818;0.171;0.1778;4602410.878756;3289;
2021-01-01-16:00;2021-01-02-00:00;2021-01-01T16:00:04.8538240Z;2021-01-01T23:59:26.1005370Z;0.1783;0.1818;0.1691;0.176;5183367.78145;3904;
2021-01-02-00:00;2021-01-02-08:00;2021-01-02T00:00:05.8542370Z;2021-01-02T07:58:58.9509140Z;0.1758;0.1768;0.1709;0.1733;1553463.545708;1602;
2021-01-02-08:00;2021-01-02-16:00;2021-01-02T08:00:53.2655760Z;2021-01-02T15:59:52.7777560Z;0.1735;0.1789;0.1701;0.1755;2019400.199979;2110;
2021-01-02-16:00;2021-01-03-00:00;2021-01-02T16:00:06.0922490Z;2021-01-02T23:58:01.1506980Z;0.1756;0.18;0.1729;0.1756;4107974.761484;3555;
2021-01-03-00:00;2021-01-03-08:00;2021-01-03T00:00:16.3190830Z;2021-01-03T07:59:59.1010570Z;0.1757;0.1881;0.1751;0.1863;4594479.597563;3014;
2021-01-03-08:00;2021-01-03-16:00;2021-01-03T08:00:02.8028280Z;2021-01-03T15:59:59.9577730Z;0.1862;0.2084;0.1842;0.2028;10559947.131016;9082;
2021-01-03-16:00;2021-01-04-00:00;2021-01-03T16:00:00.0365470Z;2021-01-03T23:59:59.9979910Z;0.2027;0.3149;0.2027;0.2908;84206412.392677;52813;
2021-01-04-00:00;2021-01-04-08:00;2021-01-04T00:00:00.8674770Z;2021-01-04T07:59:59.2397760Z;0.2918;0.42;0.2429;0.2999;149787801.193448;86870;
2021-01-04-08:00;2021-01-04-16:00;2021-01-04T08:00:00.5514660Z;2021-01-04T15:59:59.6802670Z;0.2999;0.3549;0.25;0.3228;71349034.042063;51135;
2021-01-04-16:00;2021-01-05-00:00;2021-01-04T16:00:02.6916990Z;2021-01-04T23:59:58.4585100Z;0.323;0.399;0.2929;0.3636;86032568.611383;64419;
2021-01-05-00:00;2021-01-05-08:00;2021-01-05T00:00:00.8997050Z;2021-01-05T07:59:59.6349290Z;0.3634;0.6;0.355;0.4086;216558477.209198;119635;
2021-01-05-08:00;2021-01-05-16:00;2021-01-05T08:00:00.8510430Z;2021-01-05T15:59:59.6048350Z;0.4086;0.545;0.4078;0.5449;81787407.874166;73337;
2021-01-05-16:00;2021-01-06-00:00;2021-01-05T16:00:00.1274970Z;2021-01-05T23:59:59.4460390Z;0.5449;0.63;0.4617;0.4801;154738576.912001;125920;
2021-01-06-00:00;2021-01-06-08:00;2021-01-06T00:00:00.7267120Z;2021-01-06T07:59:59.2178410Z;0.4803;0.5399;0.4243;0.4623;89154407.225264;72456;
2021-01-06-08:00;2021-01-06-16:00;2021-01-06T08:00:00.8870540Z;2021-01-06T15:59:52.2103010Z;0.4614;0.4641;0.3667;0.4269;63436283.165872;54446;
2021-01-06-16:00;2021-01-07-00:00;2021-01-06T16:00:01.7212520Z;2021-01-06T23:59:56.3960820Z;0.4266;0.525;0.395;0.4057;78384216.121899;60916;
2021-01-07-00:00;2021-01-07-08:00;2021-01-07T00:00:00.8006710Z;2021-01-07T07:59:52.5132980Z;0.4064;0.4456;0.4028;0.4165;42743374.379344;33813;
2021-01-07-08:00;2021-01-07-16:00;2021-01-07T08:00:01.3434840Z;2021-01-07T15:59:59.4167660Z;0.4152;0.45;0.4117;0.4155;22334455.9645;21951;
2021-01-07-16:00;2021-01-08-00:00;2021-01-07T16:00:00.4124590Z;2021-01-07T23:59:56.8801860Z;0.4159;0.4183;0.343;0.3702;37427104.104387;30834;
