time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count;
2021-01-04-16:00;2021-01-05-00:00;2021-01-04T16:00:00.4041250Z;2021-01-04T23:59:59.6403870Z;1041.51;1050.0;983.23;1042.38;258613.3909675;132335;
2021-01-05-00:00;2021-01-05-08:00;2021-01-05T00:00:00.2722200Z;2021-01-05T07:59:59.1765420Z;1042.24;1136.93;975.0;1003.69;424665.40338389;177309;
2021-01-05-08:00;2021-01-05-16:00;2021-01-05T08:00:00.1431170Z;2021-01-05T15:59:59.3977340Z;1004.25;1066.26;1003.18;1054.64;135095.78469113;73445;
2021-01-05-16:00;2021-01-06-00:00;2021-01-05T16:00:00.2129570Z;2021-01-05T23:59:59.4544910Z;1055.02;1125.81;1039.59;1103.73;298699.5004284;130388;
2021-01-06-00:00;2021-01-06-08:00;2021-01-06T00:00:00.2092270Z;2021-01-06T07:59:57.7261180Z;1103.71;1139.97;1058.32;1109.55;251667.05833117;107927;
2021-01-06-08:00;2021-01-06-16:00;2021-01-06T08:00:00.1844810Z;2021-01-06T15:59:58.8544380Z;1110.0;1170.0;1092.7;1147.21;184532.96757639;93020;
2021-01-06-16:00;2021-01-07-00:00;2021-01-06T16:00:00.1368510Z;2021-01-06T23:59:59.5026220Z;1147.71;1215.98;1120.0;1212.02;384884.88693706;156665;
2021-01-07-00:00;2021-01-07-08:00;2021-01-07T00:00:00.1534120Z;2021-01-07T07:59:59.6949400Z;1212.68;1228.69;1182.85;1187.99;166426.08285439;107343;
2021-01-07-08:00;2021-01-07-16:00;2021-01-07T08:00:00.1625300Z;2021-01-07T15:59:59.9939570Z;1188.5;1253.19;1160.71;1252.33;149641.67862379;81551;
2021-01-07-16:00;2021-01-08-00:00;2021-01-07T16:00:00.0561490Z;2021-01-07T23:59:59.4660100Z;1252.33;1291.94;1140.0;1227.34;345348.27145071;153037;
2021-01-08-00:00;2021-01-08-08:00;2021-01-08T00:00:00.2237870Z;2021-01-08T07:59:59.9199810Z;1227.55;1233.93;1063.18;1208.33;312302.52734265;146770;
2021-01-08-08:00;2021-01-08-16:00;2021-01-08T08:00:00.1843830Z;2021-01-08T15:59:59.9175770Z;1208.7;1275.0;1177.54;1219.54;215212.11944933;109437;
2021-01-08-16:00;2021-01-09-00:00;2021-01-08T16:00:00.2205830Z;2021-01-08T23:59:59.8697020Z;1219.53;1242.85;1135.88;1217.35;254415.72811761;139726;
2021-01-09-00:00;2021-01-09-08:00;2021-01-09T00:00:00.0475420Z;2021-01-09T07:59:59.8164920Z;1217.31;1234.56;1172.86;1197.48;141729.47737454;87605;
2021-01-09-08:00;2021-01-09-16:00;2021-01-09T08:00:00.0702480Z;2021-01-09T15:59:59.8289670Z;1197.45;1240.59;1185.68;1222.79;76927.16049434;67217;
2021-01-09-16:00;2021-01-10-00:00;2021-01-09T16:00:00.0434570Z;2021-01-09T23:59:59.6074670Z;1222.47;1310.0;1196.92;1281.45;215466.38847294;131171;
2021-01-10-00:00;2021-01-10-08:00;2021-01-10T00:00:00.1170170Z;2021-01-10T07:59:59.6922420Z;1281.25;1349.0;1281.25;1348.46;173970.19358051;115422;
2021-01-10-08:00;2021-01-10-16:00;2021-01-10T08:00:00.1744910Z;2021-01-10T15:59:59.7376040Z;1348.13;1350.88;1241.91;1303.55;179266.19863926;91546;
2021-01-10-16:00;2021-01-11-00:00;2021-01-10T16:00:00.4302000Z;2021-01-10T23:59:59.8948860Z;1303.93;1325.0;1153.0;1255.13;316867.20093853;151335;
2021-01-11-00:00;2021-01-11-08:00;2021-01-11T00:00:00.0827920Z;2021-01-11T07:59:58.2605710Z;1255.1;1260.24;1001.48;1070.12;579030.52907822;232398;
2021-01-11-08:00;2021-01-11-16:00;2021-01-11T08:00:00.2105850Z;2021-01-11T15:59:59.8766350Z;1070.54;1147.91;926.0;973.87;404358.6179939;162891;
2021-01-11-16:00;2021-01-12-00:00;2021-01-11T16:00:00.0708090Z;2021-01-11T23:59:59.5041770Z;974.39;1094.79;905.0;1088.79;573635.87257788;232514;
2021-01-12-00:00;2021-01-12-08:00;2021-01-12T00:00:00.0617400Z;2021-01-12T07:59:58.0970080Z;1088.55;1150.0;1040.0;1140.58;241551.66778896;102173;
2021-01-12-08:00;2021-01-12-16:00;2021-01-12T08:00:00.1748180Z;2021-01-12T15:59:58.6519860Z;1140.63;1144.91;1006.83;1053.73;196548.59338411;84438;
2021-01-12-16:00;2021-01-13-00:00;2021-01-12T16:00:00.0240940Z;2021-01-12T23:59:59.4451660Z;1053.68;1125.0;1024.0;1049.79;218357.4870133;106071;
2021-01-13-00:00;2021-01-13-08:00;2021-01-13T00:00:00.1835390Z;2021-01-13T07:59:59.8072870Z;1050.46;1080.42;980.0;1075.39;225168.26399124;92711;
2021-01-13-08:00;2021-01-13-16:00;2021-01-13T08:00:00.0417800Z;2021-01-13T15:59:59.6552990Z;1075.44;1094.99;1041.43;1070.14;100234.15790195;52261;
2021-01-13-16:00;2021-01-14-00:00;2021-01-13T16:00:00.3968960Z;2021-01-13T23:59:59.8939550Z;1070.77;1137.75;1060.67;1130.8;179441.42624373;93778;
2021-01-14-00:00;2021-01-14-08:00;2021-01-14T00:00:00.2539130Z;2021-01-14T07:59:57.4865880Z;1130.79;1162.68;1087.05;1148.86;128263.16686562;73499;
